                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.56262,                0.38394,                0.93393,                0.86524,                0.87968,                 0.8969,                0.76695,                0.83132,                 0.8058,                 1.0207,             0.00053965,             0.00053965,             0.00053965
                     95,                0.57087,                0.37752,                0.93381,                0.88353,                0.85242,                0.88243,                0.75324,                0.85594,                0.85257,                 1.0229,              0.0005347,              0.0005347,              0.0005347
                     96,                0.56035,                0.38238,                0.93088,                0.87518,                0.85163,                0.86847,                0.73858,                0.86787,                0.82245,                 1.0419,             0.00052975,             0.00052975,             0.00052975
                     97,                0.56183,                 0.3813,                 0.9375,                0.86231,                0.87271,                0.87725,                0.75926,                0.82131,                0.82723,                 1.0047,              0.0005248,              0.0005248,              0.0005248
                     98,                0.55208,                0.37084,                0.93147,                0.87965,                0.85198,                0.88522,                0.75525,                0.81786,                0.78513,                0.99151,             0.00051985,             0.00051985,             0.00051985
                     99,                0.55087,                0.37437,                0.92343,                0.85693,                0.85182,                0.87146,                0.74787,                0.82202,                0.85837,                 1.0145,              0.0005149,              0.0005149,              0.0005149
                    100,                0.56396,                0.36341,                0.93013,                0.84011,                 0.8678,                0.87262,                0.75126,                0.80375,                0.82023,                 1.0017,             0.00050995,             0.00050995,             0.00050995
                    101,                0.55772,                0.37495,                0.92874,                0.85921,                0.85211,                0.88826,                0.75339,                0.79061,                0.78203,                 1.0023,               0.000505,               0.000505,               0.000505
                    102,                0.54743,                0.35812,                0.92326,                0.89751,                0.86699,                0.91223,                0.77226,                0.82893,                0.81377,                 1.0035,             0.00050005,             0.00050005,             0.00050005
                    103,                0.54272,                 0.3688,                0.92593,                0.85776,                0.83767,                0.86623,                0.74425,                0.82146,                0.89598,                 1.0416,              0.0004951,              0.0004951,              0.0004951
                    104,                  0.548,                 0.3695,                0.93062,                0.84408,                  0.859,                0.86052,                0.72625,                0.85994,                0.89993,                 1.0604,             0.00049015,             0.00049015,             0.00049015
                    105,                0.53909,                0.36023,                0.92522,                0.86979,                0.86684,                0.90238,                0.77448,                0.83322,                0.78368,                 1.0217,              0.0004852,              0.0004852,              0.0004852
                    106,                0.54636,                0.36489,                0.92211,                0.80583,                0.87548,                0.86798,                0.74588,                0.79553,                0.94727,                0.99648,             0.00048025,             0.00048025,             0.00048025
                    107,                0.53876,                0.36608,                0.92466,                0.85198,                0.85864,                0.87497,                0.75203,                0.80812,                0.89488,                0.99102,              0.0004753,              0.0004753,              0.0004753
                    108,                0.53228,                0.35903,                0.91683,                 0.8941,                0.85859,                0.89657,                0.77809,                0.78244,                0.86646,                0.98876,             0.00047035,             0.00047035,             0.00047035
